instruction,input,output,text
Look up the boiling point of water.,,"The boiling point of water is 100°C (212°F), at standard atmospheric pressure. When heated at higher pressures, water's boiling point increases. For example, water will boil at a temperature of 115°C (239°F) at an atmospheric pressure of 1 bar. At higher pressures, such as those experienced at the bottom of the ocean, the boiling point of water can be as high as 374°C (705°F).","Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Look up the boiling point of water.

### Response:
The boiling point of water is 100°C (212°F), at standard atmospheric pressure. When heated at higher pressures, water's boiling point increases. For example, water will boil at a temperature of 115°C (239°F) at an atmospheric pressure of 1 bar. At higher pressures, such as those experienced at the bottom of the ocean, the boiling point of water can be as high as 374°C (705°F)."
Use the given data to calculate the median.,"[2, 3, 7, 8, 10]",The median of the given data is 7.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Use the given data to calculate the median.

### Input:
[2, 3, 7, 8, 10]

### Response:
The median of the given data is 7."
Generate a headline for the following article.,This article discusses the future of renewable energy sources in the US.,Renewable Energy Sources are the Future of the US,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Generate a headline for the following article.

### Input:
This article discusses the future of renewable energy sources in the US.

### Response:
Renewable Energy Sources are the Future of the US"
Edit the following sentence to correct the grammar and syntax errors,You was late to the party,You were late to the party.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Edit the following sentence to correct the grammar and syntax errors

### Input:
You was late to the party

### Response:
You were late to the party."
Gather some recent data related to the increasing rates of unemployment.,,"Recent data on the increasing rates of unemployment across the US show that, since the start of the coronavirus outbreak, the unemployment rate has increased from 3.5% to 14.7%. This is the highest the unemployment rate has been since the Great Depression. The US Bureau of Labor Statistics also reports that since April 2020, 43 million Americans have filed for unemployment. 

The US Federal Reserve reported in June 2020 that 40% of households making less than $40,000 a year had lost a job or experienced a reduction in income due to COVID-19, while 23% of households making over $100,000 had experienced job losses or income reductions.","Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Gather some recent data related to the increasing rates of unemployment.

### Response:
Recent data on the increasing rates of unemployment across the US show that, since the start of the coronavirus outbreak, the unemployment rate has increased from 3.5% to 14.7%. This is the highest the unemployment rate has been since the Great Depression. The US Bureau of Labor Statistics also reports that since April 2020, 43 million Americans have filed for unemployment. 

The US Federal Reserve reported in June 2020 that 40% of households making less than $40,000 a year had lost a job or experienced a reduction in income due to COVID-19, while 23% of households making over $100,000 had experienced job losses or income reductions."
Sort the following list in alphabetical order.,"Camouflage, Furniture, Plaster","Furniture, Camouflage, Plaster","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Sort the following list in alphabetical order.

### Input:
Camouflage, Furniture, Plaster

### Response:
Furniture, Camouflage, Plaster"
Rewrite the following paragraph to make it sound more formal.,Moving away from home to college was really hard. It's like I had to let go of my comfort and safety and figure things out on my own.,Transtioning to post-secondary education away from home was an intimidating experience. I had to relinquish familiarity and security and traverse uncharted waters alone.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Rewrite the following paragraph to make it sound more formal.

### Input:
Moving away from home to college was really hard. It's like I had to let go of my comfort and safety and figure things out on my own.

### Response:
Transtioning to post-secondary education away from home was an intimidating experience. I had to relinquish familiarity and security and traverse uncharted waters alone."
Explain the difference between a primary and secondary source.,,"A primary source is an original source of information, such as an eyewitness account or a document written at the time of an historical event. Secondary sources are interpretations or analyses of primary sources, such as historical documents or interviews with an eyewitness. Secondary sources provide a different perspective on an event, while primary sources provide an unmediated view of the event.","Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Explain the difference between a primary and secondary source.

### Response:
A primary source is an original source of information, such as an eyewitness account or a document written at the time of an historical event. Secondary sources are interpretations or analyses of primary sources, such as historical documents or interviews with an eyewitness. Secondary sources provide a different perspective on an event, while primary sources provide an unmediated view of the event."
Give me an example of a conflict resolution technique.,,"One conflict resolution technique is collaborative problem solving, which involves negotiating and finding a solution that both parties can agree on. This process involves understanding the issue, identifying the interests of both parties, exploring options and solutions, and finding a win-win outcome.","Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Give me an example of a conflict resolution technique.

### Response:
One conflict resolution technique is collaborative problem solving, which involves negotiating and finding a solution that both parties can agree on. This process involves understanding the issue, identifying the interests of both parties, exploring options and solutions, and finding a win-win outcome."
Construct a timeline for the coronavirus outbreak.,,"December 2019: Initial Cases Reported in Wuhan, China

January 2020: Coronavirus has Spread to Multiple Countries

February 2020: World Health Organization (WHO) Declares a Public Health Emergency

March 2020: COVID-19 Declared a Global Pandemic

April 2020: Many Countries Begin to Reopen 

May 2020: Vaccine Research & Development Begins

June 2020: WHO announces start of vaccine distribution to low-income countries 

July 2020: Vaccinations Begin in Developed Countries

August 2020: Vaccine Trials Begin in the US

September 2020: New Virus Strains Appear

October 2020: Global Cases Pass 40 Million

November 2020: Vaccine Rollout Begins in US

December 2020: Virus Cases Reach an All-Time High","Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Construct a timeline for the coronavirus outbreak.

### Response:
December 2019: Initial Cases Reported in Wuhan, China

January 2020: Coronavirus has Spread to Multiple Countries

February 2020: World Health Organization (WHO) Declares a Public Health Emergency

March 2020: COVID-19 Declared a Global Pandemic

April 2020: Many Countries Begin to Reopen 

May 2020: Vaccine Research & Development Begins

June 2020: WHO announces start of vaccine distribution to low-income countries 

July 2020: Vaccinations Begin in Developed Countries

August 2020: Vaccine Trials Begin in the US

September 2020: New Virus Strains Appear

October 2020: Global Cases Pass 40 Million

November 2020: Vaccine Rollout Begins in US

December 2020: Virus Cases Reach an All-Time High"
