"Time","vllm-llama-mgx7d"
2025-12-02 10:25:45,0
2025-12-02 10:26:00,0
2025-12-02 10:26:15,0
2025-12-02 10:26:30,0
2025-12-02 10:26:45,0
2025-12-02 10:27:00,0
2025-12-02 10:27:15,0
2025-12-02 10:27:30,0
2025-12-02 10:27:45,0
2025-12-02 10:28:00,0
2025-12-02 10:28:15,0
2025-12-02 10:28:30,0
2025-12-02 10:28:45,0
2025-12-02 10:29:00,0
2025-12-02 10:29:15,0
2025-12-02 10:29:30,0
2025-12-02 10:29:45,0
2025-12-02 10:30:00,0
2025-12-02 10:30:15,0
2025-12-02 10:30:30,0
2025-12-02 10:30:45,0
2025-12-02 10:31:00,0
