question,subject,choices,answer
Psychological egoism is:,philosophy,"['an ethical theory about how we ought to behave.'
 'a generalization concerning the way people tend to behave.'
 'a claim about human nature and the ways people are capable of behaving.'
 'none of the above.']",2
"Iverson Jewelers wrote a letter to Miller, 'We have received an exceptionally fine self winding Rolox watch which we will sell to you at a very favorable price.'",jurisprudence,"['The letter is an offer to sell'
 'A valid offer cannot be made by letter.'
 'The letter contains a valid offer which will terminate within a reasonable time.'
 'The letter lacks one of the essential elements of an offer.']",3
"In contrast to _______, _______ aim to reward favourable behaviour by companies. The success of such campaigns have been heightened through the use of ___________, which allow campaigns to facilitate the company in achieving _________ .",business_ethics,"['Buycotts, Boycotts, Blockchain technology, Charitable donations'
 'Buycotts, Boycotts, Digital technology, Increased Sales'
 'Boycotts, Buyalls, Blockchain technology, Charitable donations'
 'Boycotts, Buycotts, Digital technology, Increased Sales']",3
Which of the following is necessarily a characteristic of oligopoly?,high_school_microeconomics,"['Free entry into and exit from the market' 'A few large producers'
 'One producer of a good with no close substitutes' 'A homogenous product']",1
Find all c in Z_3 such that Z_3[x]/(x^2 + c) is a field.,abstract_algebra,['0' '1' '2' '3'],1
"In a given population, 1 out of every 400 people has a cancer caused by a completely recessive allele, b. Assuming the population is in Hardy-Weinberg equilibrium, which of the following is the expected proportion of individuals who carry the b allele but are not expected to develop the cancer?",college_biology,['1/400' '19/400' '20/400' '38/400'],3
What should a public relations media practitioner do if she does not know the answer to a reporter's question?,public_relations,"['Give the reporter other information she is certain is correct.'
 ""Say that the information is 'off the record' and will be disseminated later.""
 ""Say 'I don't know' and promise to provide the information later.""
 ""Say 'no comment,' rather than appear uninformed.""]",2
Which of the following is not a true statement?,college_medicine,"['Muscle glycogen is broken down enzymatically to glucose-1-phosphate'
 'Elite endurance runners have a high proportion of Type I fibres in their leg muscles'
 'Liver glycogen is important in the maintenance of the blood glucose concentration'
 'Insulin promotes glucose uptake by all tissues in the body']",3
Who is the shortest man to ever win an NBA slam dunk competition?,miscellaneous,"[""Anthony 'Spud' Webb"" ""Michael 'Air' Jordan"" ""Tyrone 'Muggsy' Bogues""
 ""Julius 'Dr J' Erving""]",0
What place is named in the title of the 1979 live album by rock legends Cheap Trick?,miscellaneous,['Budapest' 'Budokan' 'Bhutan' 'Britain'],1
The stage of meiosis in which chromosomes pair and cross over is:,medical_genetics,['prophase I' 'metaphase I' 'prophase II' 'metaphase II'],0
"In issues management, what is the most proactive approach to addressing negative or misleading information posted online about your organization?",public_relations,"['Buy domain names that could be used by opposition groups.'
 'Post anonymous comments on blogs to combat this information.'
 'Prepare a news release that discredits the inaccurate information.'
 'Make policy changes to address complaints highlighted on these sites.']",3
"Five thousand dollars compounded annually at an $x\%$ interest rate takes six years to double. At the same interest rate, how many years will it take $\$300$ to grow to $\$9600$?",high_school_mathematics,['12' '1' '30' '5'],2
"To achieve an 0/1 loss estimate that is less than 1 percent of the true 0/1 loss (with probability 95%), according to Hoeffding's inequality the IID test set must have how many examples?",machine_learning,"['around 10 examples' 'around 100 examples' 'between 100 and 500 examples'
 'more than 1000 examples']",3
"In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors",professional_psychology,"['are uncorrelated with each other but are moderately correlated with the criterion'
 'have low correlations with each other and low correlations with the criterion'
 'are highly intercorrelated with each other and moderately correlated with the criterion'
 'have low correlations with the criterion bur are moderately correlated with each other']",0
"If someone attacks the character of an opposing arguer, instead of responding to that opponent's arguments, the first person has probably committed which of the following fallacies?",logical_fallacies,"['tu quoque' 'horse laugh' 'argument against the person'
 'ignoratio elenchi']",2
Which of these three elements has the most mass per nucleon?,conceptual_physics,['Hydrogen' 'Iron' 'Uranium' 'Same in each'],0
"In an SR latch built from NOR gates, which condition is not allowed",electrical_engineering,"['S=0, R=0' 'S=0, R=1' 'S=1, R=0' 'S=1, R=1']",3
"If the government subsidizes producers in a perfectly competitive market, then",high_school_microeconomics,"['the demand for the product will increase'
 'the demand for the product will decrease'
 'the consumer surplus will increase' 'the consumer surplus will decrease']",2
Statement 1| Every function from a finite set onto itself must be one to one. Statement 2 | Every subgroup of an abelian group is abelian.,abstract_algebra,"['True, True' 'False, False' 'True, False' 'False, True']",0
